text,class
"Жить было дешевле потому, что она об этом знаю.",generated
"Ростов скакал назад с другими, испытывая какое-то неприятное чувство, сжимавшее ему сердце.",original
"Честное, благородное слово, - крестясь, говорила Наташа, - никому не скажу, - и тотчас же побежала к Соне.",original
"А так-то, хоть и поколотят, да можно эскадрон представить и самому бантик получить.",original
"Михаил Иваныч, m-lle Bourienne с радостными улыбками смотрели на него, когда он разговаривал с старым князем.",original
"– Позвольте, барышня, позвольте, – говорила девушка, стоя на коленях, обдергивая платье и с одной стороны рта на другую переворачивая языком булавки.",original
"Несмотря на то, что его называли так, и он часто думал о себе.",generated
IX,original
Будущее людей и продолжающих в шубах и колясках ехать с собою вспоминал и соображал значение каждого слова Пьера.,generated
"- Я полагаю, что дело ваше плохо.",generated
"Видимо с света войдя в темноту, человек этот остановился; потом осторожными шагами он подвинулся к столу и положил на него небольшие, закрытые кожаными перчатками, руки.",original
"Это я тебе истинную правду говорю, сама видела.",original
"Милорадовича не было тоже дома, но тут ему сказали, что Милорадович на балу у генерала Кикина, что, должно быть, и Ермолов там.",original
"Все кричали, говорили и думали, что он должен ехать лечиться.",generated
Вот что я пришла?,generated
Насупротив от Николая известие о назначении его в ту же минуту оправился от волнения.,generated
"Немец хмурился, старался показать вид, что не его вина и позор в том, что Москва была в сомнении, не во власти одного лица, спасшее Россию и никогда не имел на это права, и никто не знал.",generated
"- Я не знаю, что то, что войска были раздеты, голодны, и не был устремлен на нее; но всё это должно было решить дело, - что-то другое, важнейшее, было открыто ему.",generated
"– Что вам стоит сказать слово государю, и просьба его, наверно, будет уважена.",generated
"Ближе всех за чаем, за который он хотел.",generated
"В кружке Элен, румянцевском, французском, опровергались слухи о жестокости врага и войны и обсуживались все попытки Наполеона к примирению.",original
"Или, другими словами, к явлению, которое мы рассматриваем, понятие причины неприложимо.",original
"Входя на этот вопрос противоречиво, а историки культуры вовсе отстраняют его, отвечая на слова Десаля, говорившего о том, как и знал что-то другое, важнейшее, было открыто ему.",generated
"Капельдинер учтиво и поспешно и весело захохотал, что Денисову из своей ежегодной поездки на ярмарку в Вязьму привозил ей всякий раз спасается неожиданным образом.",generated
"«Никто не прав, как и все свои силы, чтобы казаться как можно более расхваливать порядок в доставлении провианта и маршрутов, когда будете говорить с Тихоном, который не приобретается искусственно и который поэтому притворялся, что он не вполне понимал его.",generated
"     Когда привели к князю Андрею Николушку, испуганно смотревшего на отца, но не плакавшего, потому что никто не плакал, князь Андрей поцеловал его и, очевидно, не знал, что говорить с ним.",original
"– Marie, – сказала Дуняша.",generated
"Красивый, молодой император Александр, в конно-гвардейском мундире, в треугольной шляпе, надетой с поля, своим приятным лицом и звучным, негромким голосом привлекал всю силу внимания.",original
"Некоторые церкви разного исповедания открыты, и в ту же участь.",generated
Кутузов отвернулся.,original
"Из-за самоуверенности, с которой он проводил у Ростовых.",generated
"Гости встали с своих мест, поздравляя старого князя.",original
Разбойничать-то нонче никому не велят!,original
– О чем?,original
"Этой крошечной девочке Наташе, которая хотя и старались говорить о том, как противоположно одна другой поступили, в столь трудных обстоятельствах, обе императрицы.",generated
- Наделали дела!,original
"- На горе пикет, ваше сиятельство, всё там же, где был с вечера, - доложил Ростов, нагибаясь вперед, держа руку у козырька и не в силах удержать улыбку веселья, вызванного в нем его поездкой и, главное, звуками пуль.",original
"Как князь Андрей был молодой человек, обещающий пойти далеко на военном поприще, так, и еще более, обещал Билибин на дипломатическом.",original
Графиня ласкала мальчика.,original
"Дайте мне одного, пожалуйста, я ему хорошенько заплачу и...",original
"И по выстг'елу... - Лощиной нельзя будет представить себе человека совершенно свободного, не подлежащего разуму.",generated
"Князь Андрей смотрел близко в эти зеркальные, непропускающие к себе глаза и ему стало смешно, как он мог ждать чего-нибудь от Сперанского и от всей своей деятельности, связанной с ним, и как мог он приписывать важность тому, что делал Сперанский.",original
"Наташа угадывала то, что графиня видела только эту подушку, и неясные мысли ее о женихе, но сказал только, что христианская любовь, любовь к солнцу и жизни нет истины и жизни нет истины и жизни!»",generated
"В это утро по приказанию Денисова дали водки, баранины и которого никому не должно быть и не ясны, никто не жаловался, что его сведения неверны и что он готов был заплакать.",generated
Хотя Ростов и сказал ей: – «Вы знаете мои чувства к вам!» Говорить больше не приходил спрашивать распоряжений графа.,generated
Ближе блестели золотые поля и перелески.,original
Курьер был один из знакомых Пьеру московских бальных танцоров.,original
- коротко и удивленно вскрикнула:,generated
"Так бил, так волочил!..",original
"Он поехал на квартиру Иосифа Алексеевича под предлогом займа, давал ему батальон французской гвардии.",generated
- обращался он к дядюшке.,generated
"Он долго не мог помириться с той мыслью, что он есть тот самый отставной московский камергер, тип которого он так глубоко презирал семь лет тому назад.",original
"Pour ce qui est du projet de Marieiage qui me regarde, je vous dirai, chere et excellente amie, que le Marieiage, selon moi,est une institution divine a laquelle il faut se conformer.",original
"Того же, что война кончена, что император Наполеон оскорблен требованиями вывода войск из Пруссии, в Австрии, в Испании, в России, но все это безумие, и Госнер и Татаринова, - спросил Николай.",generated
"- Да, я это давно знала, но забыла, что, кроме низости, обмана, зависти, интриг, кроме неблагодарности, самой черной неблагодарности, я ничего не могла ожидать в этом доме...",original
"Большая часть лиц французских солдат были изуродованы отмороженными носами и щеками, и почти у всех были красные, распухшие и гноившиеся глаза.",original
Скоро ли?,original
"Так точно общие историки: иногда, когда им этого хочется, когда это подходит к их теории, говорят, что власть есть результат событий; а иногда, когда нужно доказать другое, - они говорят, что власть производит события.",original
"- А что, граф, - сказала она.",generated
"15-го числа утром, на третий день после похорон отца, ее голос и выражение сочувствия в то время, как князь Багратион только старался притвориться перед управляющим, что он не понимает назначения этих часов, он и этого он не кончил еще начатое перед проездом маршала вычисление о том, не замечают ли все гости враждебных отношений ее отца к вам.",generated
"И помолчав несколько времени, прибавил: – «Но соблюди, любезный брат, да не украшают перчатки сии рук нечистых».",original
"Он пристально и вопросительно смотрел на них внимания, решительными шагами вошла в гостиную и, подойдя к рядам, по которым ходил кто-то.",generated
"И Соня, хотя никогда не приедет, или что прежде, чем он успел это сделать, Долохов, глядя прямо в бывшую гостиную, другая направо в кабинет.",generated
"И эта-то была та девственная нетронутость, то незнание своих сил и та же шаловливая улыбка, как бы и взяли его правую руку, лежавшую ладонью книзу, между большим и большим белым домом.",generated
– сказал он вопросительно.,generated
"– Особа, очень высоко поставленная в нашем поражении воспоминанием прежних побед, и повторялись слова Ростопчина про то, чтобы спасать и жалеть их.",generated
"- Управляющий мне знакомый, выбежал и просит, не купите ли что-нибудь.",original
"В последнее время столько других и даже справедливостью, является у историков спасительное понятие о свободе воли сведен на такую почву, на которой он шел и куда.",generated
– Ну так что ж ты хочешь?,original
"- Давно, - сказал Ростов, - я уже за сеном сходил и фрейлен Матильда видел.",original
"Войска Даву, к которым она, растрепанная, в халате, с красным нахмуренным лицом, большими, быстрыми шагами вышел из палатки, раскинутой в этот день рано утром, стараясь не видеть его, ушел из своего пистолета, - отправляя его, генерал, поминая безумный поступок Пети в Вяземском сражении, где Петя, вместо того я имею честь служить здесь, в полку свои дела, выйти в отставку, то в торжественно церковное, то в клубе, то в их доме, и как будто говорит старому поколению: уважать и почитать вас мы готовы, но помните, что всё-таки скучно, Наташа пошла в свою подмосковную.",generated
Какие-то проекты подавал и в установившемся молчании слышалось тяжелое пыхтенье.,generated
"– Оттолкнув удивленными, но сухими глазами глядящую на нее Наташу, она заперла ее на ключ и приказав дворнику пропустить в ворота тех людей, которые придут нынче вечером, но не выпускать их, а лакею приказав привести этих людей к себе, села в гостиной, ожидая похитителей.",original
Другое ты говоришь: облегчить его работу.,original
"Он встает и идет к Малоярославцу, но Кутузов перебил его.",generated
"Не успел еще Ростов разглядеть что-то, вдруг зачерневшееся в тумане, шатаясь, уже вышла из своей ежегодной поездки на ярмарку в Вязьму привозил ей всякий раз пускаясь вперед, когда волк садился на зад и всякий раз восторженно и несколько раз в минуту.",generated
"Я было и не простившись ни с той, мнимо превышающею человеческие слабости, точностью и определительностью, с которой надо было объясняться.",generated
"Это доказало не столько устройство переправы, сколько движение на мостах.",original
"Но надо было решить что-нибудь, надо было прекратить эти разговоры вокруг него, которые начинали принимать слишком свободный характер.",original
Он как будто она чувствовала себя нечаянно забытым на этом пути.,generated
"- Я этих модных церквей не люблю, как надо.",generated
"Илья Андреич не успевал выслушивать рассказов, которые ему делали, - важные или самые ничтожные, - отвечал брат.",generated
"- Петя, ты глуп, - сказала Наташа.",original
"Он нас водил, водил - всю неделю.",original
"Переговоривши с старшим французским офицером, который вышел к нему из-за дома с платком на шпаге и объявил, что они сдаются, Долохов слез с лошади и подошел к неподвижно, с раскинутыми руками, лежавшему Пете.",original
"Какое же зло и заблуждение в том, что люди умирают от болезни, без помощи, когда так легко материально помочь им, и я им дам лекаря, и больницу, и приют старику?",original
"В тот же вечер дворовый человек, пришедший из Боровска, рассказал, как он видел вступление огромного войска в город.",original
"Дома разори да в мушкатера... припевал он, как и всегда.",generated
"Живущим человек знает себя не иначе, как хотящим, то есть сознает свою волю.",original
"Он вышел, быстро подрагивая на каждом шагу старались его обманывать.",generated
"- Да, писали, не гуляли!",original
"Он что-то хотел сказать, и она в первый и в том, ни в одном движении этой толпы, начиная от маршала и до посещения Ростова, княжна Марья быстрыми шагами пошел по ней и замахнулся на нее.",generated
"Винюсь, брат, над Маком смеялись, а самим еще хуже приходится, - сказал Билибин, - Болконский мой гость в доме ставила себя на одного три госпиталя, 400 больных слишком!",generated
"В дыму, оглушаемый беспрерывными выстрелами, заставлявшими его каждый день, что теперь, сведенные вместе в таких страшных условиях, они снова полюбят друг друга в своем воображении те гневные в колкие упреки, которые княжна Марья собралась в дорогу.",generated
"– сказал Пьер, успокоиваясь.",generated
- Как чорта ли в письме?,original
У меня их было смешанное и неопределенное.,generated
- Уж это не может быть самого вопроса.,generated
Все стали по ковру вертеться.,generated
"Я попробовала угрожать, но он чувствовал, и ему сообщать свое намерение участвовать в нем: будет очень весело.",generated
"- Ни разу, никогда.",original
"Ты разве не знаешь, – сказала она.",generated
"Она вскрикнула и убежала, а Анатоль с улыбкой на лице, бросилась в лицо жизни.",generated
"Какая-то женщина вышла из ее комнаты с испуганным лицом и смутилась, увидав князя Андрея.",original
"     Наташа не дала ей договорить, притянула к себе большую руку графини и поцеловала ее сверху, потом в ладонь, потом опять повернула и стала целовать ее в косточку верхнего сустава пальца, потом в промежуток, потом опять в косточку, шопотом приговаривая: «январь, февраль, март, апрель, май».",original
Наташа и Николай обласкал этого офицера с достоинством и холодностью и с рюмкой нагнулся к ребенку.,generated
"Скажите капитану, когда он будет делать обход; он все для вас сделает... (сноска 19) Вот, клянусь святым Фомою, он мне говорил однажды: Кирил - это человек образованный, говорит по-французски; это русский барин, с которым случилось несчастие, но он человек.",original
Передайте от меня родится?,generated
Но лучше подождать радоваться.,original
"Наполеон делал тоже все, что им очень жарко.",generated
Земля как будто ахнула от страшного удара.,original
"Графиня Марья чувствовала вполне вину своего мужа; чувствовала и свою генеральскую важность, а главное - жалкая девушка.У нее никого,никого нет.",generated
"Офицер махнул рукой на вопросы, которые представлялись ему, но составляла часть его поручений, и велел ей заложить маленькую карету.",generated
"Какой огонь ты в кабинете благодетеля, беспокойно шагая из одного инструмента в другой.",generated
"Опять всё бросилось из деревни, но орудия Тушина не могли двинуться, и артиллеристы, Тушин и юнкер, молча переглядывались, ожидая своей участи.",original
"И всё, что есть в тебе надежд и сил, всё только тяготит и раскаянием мучает тебя.",original
"Лицо было тихое, кроткое и счастливое.",original
"За обедом разговор зашел о последней политической новости, о захвате Наполеоном владений герцога Ольденбургского и о русской враждебной Наполеону ноте, посланной ко всем европейским дворам.",original
"Но вдруг любовь к врагам, достойнее, слаще и лучше, чем прежде, - сказал Пьер.",generated
"Нынче он меня звал, я не поеду.",original
"Но солнце, застилаемое дымом, стояло еще высоко, и впереди, и в особенности налево у Семеновского, кипело что-то в дыму, и гул выстрелов, стрельба и канонада не только не ослабевали, но усиливались до отчаянности, как человек, который, надрываясь, кричит из последних сил.",original
Из первой двери слышались голоса разговаривающих по-немецки и изредка по-французски.,original
"- Ну, бог'ода, - обратился он к мужику-проводнику, - веди к Шамшеву.",original
"Когда Герасим разбудил его от его задумчивости, Пьеру пришла мысль о том, что он примет участие в предполагаемой - как он знал - народной защите Москвы.",original
"     Но странное дело, все эти распоряжения, заботы и планы, бывшие вовсе не хуже других, издаваемых в подобных же случаях, не затрогивали сущности дела, а, как стрелки циферблата в часах, отделенного от механизма, вертелись произвольно и бесцельно, не захватывая колес.",original
Жизнь без княжны Марьи письмо к Мюрату:,generated
"Наташа смотрелась в зеркало, как сидит спинка, она услыхала его голос, как вдруг знакомый шопот m-lle Bourienne все слухи, ходившие по городу, из ста тридцати орудий.",generated
"Глаза ее были сосредоточены на одном: она думала о том, как я вижу тень улучшения.",generated
"Армия подержалась южнее, по Рязанской дороге, и ближе к запасам.",original
"- И он ответил бы по справедливости, а справедливость противоречила больше чем наполовину закрывали его старческие глаза, придавая ему кроткий вид, подъехал к Пете, слез с лошади и съезжалась свита, видимо приготовляясь к предстоящему движению, силы запада несколько раз молча прошел по коридору и вышел из балагана.",generated
"Предупреждаю вас, знаете...]  ",original
"Весьма часто представление о его занятиях, о войне и неприятеле.",generated
"Призванный Михаил Иваныч, архитектор, явившийся к княжне Марье с заспанными глазами, ничего не мог сказать ей.",original
"- Лавг'ушка, - закричал он громко и сердито.",original
"Вдруг проезжающий отложил книгу, заложив закрыл ее и, опять опустив голову, молчал несколько времени.",generated
"– Что ж ты не возобновишь знакомство, – сказал Долохов Ростову.",original
Вот и няню хоть спросите.,original
Он стоял перед нею и говорил с ней.,generated
"А воля Его руководствуется только одною беспредельною любовью к нам, и потому всё, что ни случается с нами, всё для нашего блага.",original
"- Ох, не люблю молодца, - сказал он, не стесняясь присутствием вахмистра.",original
"Мы брали Вену, Берлин, Мадрид, Неаполь, Рим, Варшаву, все столицы мира.",original
После своего свидания с графом Марковым?,generated
"- нахмурившись, закричал Кутузов, быстро вставая и наступая на Вольцогена.",original
"Впереди, в дыму, уже были видны ряды серых шинелей, и офицер, увидав Багратиона, с криком побежал за солдатами, шедшими толпой, требуя, чтоб они воротились.",original
"Наташа большими, открытыми глазами смотрела на тебя, заговорила Наташа, видимо стараясь отогнать набежавшее облако.",generated
И между ним и гости сидели уж за чайным столом.,generated
"- Eh bien, oui, - сказала она, - peut etre qu'il a pour moi d'autres sentiments que ceux d'un pere, mais ce n'est; pas une raison pour que je lui ferme ma porte.",original
"Elle est bien malheureuse, 2 - прибавила Анна Павловна.",original
"И там изгнанник, разлученный с милыми сердцу и он почувствовал слезы.",generated
Она смутно знала и какого всегда немножко боялась.,generated
"(сноска 21) Спасибо, спасибо, любезный, а остаток-то где?..",original
- спросил он.,original
- Вот чудо-то!,original
"Князь Андрей встал и, подозвав к себе то Алпатыча, то Михаила Ивановича, то Тихона, то Дрона.",generated
"Не оттого он не боялся, что он привык к огню (к опасности нельзя привыкнуть), но оттого, что он выучился управлять своей душой перед опасностью.",original
- Мне не хочется спать.,original
"Хороший игрок, проигравший в шахматы, искренно убежден, что это был офицер и раненый герой, хорошо ли было с людьми Плутарха, и я остаюсь более, чем в смысле речей, сообщалось и ему.",generated
- Нет... Отчего же?,original
Она окончила пасьянс и тогда она особенно любила княжна Марья.,generated
"Возвращаясь назад, Борис заметил Ростова, который стоял у столба, дрожащими руками толкая друг друга.",generated
"«Стало быть она знает, как будет несчастлив отец, ежели Андрей уедет, не помирившись с ним; но теперь говорил так же громко, пересыпая разговор теми же бесцельными ругательствами.",generated
"Все это очень хорошо знаю, потому что он искал случая загладить это.",generated
- Да я не знаю... mon pere.,original
"У него был центр тяжести, которого не могли предвидеть того, как подействует на других, и занятого делом приятным и интересным.",generated
"Он только ощупывал в кармане деньги и продолжал то, что она теперь прячется и сидит с своими интересами мысли, науки, поэзии, музыки, любви, дружбы, ненависти, страстей, шла как и французский авангард, и потому неловко.",generated
"«Ведь он знает, находится недалеко.",generated
"Две музыки, три хора песенников.",original
"впрочем я не видала даже государя и сведение казаков, уже не так удобно при... - Алпатыч указал на то, что он хотел как-нибудь ущипнуть, толкнуть Бориса, но только притворяется.",generated
"Но узнав так же несомненно, что воля его подлежит законам, он не верит и не может верить этому.",original
В это время Николай заметил присутствие племянника.,original
"Приказав вести за собой лошадь, Пьер пошел под гору к пруду.",generated
"– Да, да, я несчастен, подтвердил Пьер; – но что ж мне делать?",original
"Наташа, как я рада, что ты не сердишься на меня.",original
"- Ти-ти-ти, a d'autres, [70] - сказал француз, махая пальцем себе перед носом и улыбаясь.",original
"И чувство восторга и любви к Наташе и тотчас же понял свою роль благодетеля перед княжною, усвоил себе тот единственный путь и прием хозяйства, которые приносили хорошие результаты.",generated
"– Я ничего не боюсь, – сказала Соня.",original
"– Ну, вот ты хочешь освободить крестьян, – продолжал он.",original
"Он держал одною рукой складку платья, подошла к нему и непридворно остановился близко от него свет свечи, и вязала чулок.",generated
     – А вы разве умеете?,original
"Вы не знаете, как вы для меля важны и как вы много для меня сделали!..",original
"Верещагин с криком и спорами втеснился в обозы, и пленные, окруженные со всех сторон, солдаты узнавали, что идут по тому наслаждению, с которым он принимал роль главы московской оппозиции.",generated
"""Но нет, отчего же прежде не приходила мне в голову эта мысль?""",original
"– Меня считают злым человеком, я знаю, что вы этого хотите.",generated
"Это на жизнь и наблюдала ее, тем более раздраженным, чем более он чувствовал невозможность заснуть в эту одну минуту сомнительна, вы увидите вашего императора, подвергающегося первым ударам неприятеля, потому что он не бывал еще, были – одно остается», и вместе с извозчиком сидел старик, почтенный камердинер.",generated
"""Как она молилась!",original
"– Я не понимаю, - отвечал камердинер, вздыхая, - и как он падал в изнеможении, и тому подобное.",generated
"Однако ты отсырел, дай я тебя выжму.",original
Здог'ово!,original
"- Вам кого, сударь, надо?",original
"- Mais on dit qu'il est aveugle, mon prince?",original
Место для поединка было выбрано шагах в двадцати за ними.,generated
"""Позавчера на Дунаю"", отвечал солдат.",original
"Но куда должны были его вести Пьер не знал: назад в балаган или на приготовленное место казни, которое, проходя по Девичьему полю, ему показывали товарищи.",original
